301  02  01  087  Política económica de la empresa
301  02  01  088  Dirección y gestión de personal
301  02  01  089  Política fiscal de la empresa
301  02  01  090  Dirección financiera
301  02  01  091  Gestión de stocks
301  02  01  092  Investigación de mercados
301  02  01  093  Marketing y publicidad
301  02  03  101  Introducción a la contabilidad
301  02  03  102  Derecho de la empresa
301  02  03  103  Estadística I
301  02  03  104  Introducción a la economía I
301  02  03  105  Matemáticas empresariales I
301  02  03  106  Historia económica mundial y de España
301  02  03  107  Economía de la empresa I
301  02  03  108  Estructura económica mundial
301  02  03  109  Estadística II
301  02  03  110  Introducción a la economía II
301  02  03  111  Matemáticas empresariales II
301  02  03  112  Teoría de la contabilidad
301  02  03  201  Economía de la empresa II
301  02  03  202  Estructura económica de España
301  02  03  203  Microeconomía I
301  02  03  204  Progrmacion matematica
301  02  03  205  Contabilidad financiera
301  02  03  206  Estadística III
301  02  03  207  Macroeconomía I
301  02  03  208  Contabilidad de gestión I
301  02  03  209  Matemáticas de las operaciones financieras
301  02  03  210  Econometría I
301  02  03  211  Dirección de la producción y operaciones
301  02  03  301  Dirección comercial I
301  02  03  302  Econometría II
301  02  03  303  Análisis y consolidación contable I
301  02  03  304  Introducción a la política económica
301  02  03  305  Contabilidad de gestión II
301  02  03  306  Microeconomía II
301  02  03  307  Dirección comercial II
301  02  03  308  Econometría III
301  02  03  309  Análisis y consolidación contable II
301  02  03  310  Política económica
301  02  03  311  Macroeconomía II
301  02  03  312  Sistemas fiscales
301  02  03  401  Dirección financiera I
301  02  03  402  Dirección estratégica y política de empresa I
301  02  03  403  Administración de recursos humanos
301  02  03  404  Distribución comercial
301  02  03  405  Régimen fiscal de la empresa I
301  02  03  406  Dirección financiera II
301  02  03  407  Dirección estratégica y política de empresa II
301  02  03  408  Régimen fiscal de la empresa II
301  02  03  409  Control de gestión
301  02  03  701  Microeconomía I
301  02  03  702  Macroeconomía I
301  02  03  703  Economía de la empresa I
301  02  03  704  Economía de la empresa II
301  02  04  101  Contabilidad financiera y analítica
301  02  04  102  Derecho de la empresa
301  02  04  103  Economía de la empresa I
301  02  04  104  Estructura económica mundial
301  02  04  105  Introducción a la estadística empresarial
301  02  04  106  Introducción a la economía I
301  02  04  107  Introducción a la economía II
301  02  04  108  Matemáticas empresariales I
301  02  04  109  Matemáticas empresariales II
301  02  04  110  Historia económica mundial y de España
301  02  04  201  Economía de la empresa II
301  02  04  202  Estructura económica de España
301  02  04  203  Estadística aplicada a la empresa I
301  02  04  204  Teoría económica I
301  02  04  205  Teoría económica II
301  02  04  206  Contabilidad financiera
301  02  04  207  Dirección de la producción y operaciones
301  02  04  208  Programación matemática
301  02  04  209  Matemáticas de las operaciones financieras
301  02  04  210  Contabilidad de costes
301  02  04  211  Estadística aplicada a la empresa II
301  02  04  301  Dirección comercial
301  02  04  302  Dirección y distribución comercial
301  02  04  303  Métodos econométricos aplicados a la empresa I
301  02  04  304  Contabilidad general y analítica
301  02  04  305  Contabilidad de gestión
301  02  04  306  Sistemas fiscales
301  02  04  307  Introducción a la econometría de la empresa
301  02  04  308  Control de gestión
301  02  04  309  Teoría económica III
301  02  04  401  Dirección financiera
301  02  04  402  Métodos econométricos aplicados a la empresa II
301  02  04  403  Dirección estratégica y política de empresa I
301  02  04  404  Dirección estratégica y política de la empresa II
301  02  04  405  Introducción a la política económica
301  02  04  406  Política económica
301  02  04  407  Administración de recursos humanos
301  02  04  408  Régimen fiscal de la empresa
301  02  04  701  Teoría económica I
301  02  04  702  Teoría económica II
301  02  04  703  Economía de la empresa I
301  02  04  704  Economía de la empresa II
301  03  03  101  Introducción al derecho público
301  03  03  102  Estadística administrativa I
301  03  03  103  Introducción a la economía
